"","internal_id","pieces","date"
"91",1077,"wo is me if i preach not the gospel      may ,  ",1836-05-31
"92",1077," tuesday      spent this st day of may at br   and found it to be the most interesting, important  and instructive day of my life. for on this glorious  day i was ordained unto the   and also as one of the second   unto  under the hands of my  beloved brethren viz elders  &amp;   my ordination was requested by  the presidency of the church at  ohio  their was glorious things pronounced upon my head  in my ordination by the spirit of  &amp; reve   some i will mention which are as follows  that although my enemies would strive to take  my life &amp; confine me in dungeons &amp; prisons yet  god should give me power over my enemies &amp;  deliver me out of their hands &amp; from their  vaults, prisons, &amp; caves in the name of jesus   christ. &amp; that men would bow at my feet  &amp; worship me if i did not say to them do it not  &amp; that kings would bow before me &amp;  princes give me their hand &amp; that i should  baptize them into the  &amp; that  i should be blessed on the earth when my  head blossomed with age &amp; if i desired it i should  remain on the earth untill the  of the  savior &amp; that god would give me the desire of  my heart &amp; that god had had his eye upon me  all my life long to prepare me for this work  yea {even when my spirit was playing around the  in eternity} that i shou  ld travel to the nations of the  &amp; the islands  . when  these and other blessings were pronounced  upon my head i was filled with the power  &amp; . even so let it be amen  o god the  i ask  the in the name of jesus christ  to prepare me for thy use and  give me the spirit of my     ",1836-05-31
"93",1136,"there was no bell here to toll  but many a briny tear did fall  with look our own hearts did tell  little  dear farewell  yes little sarah lovly one  sleep on sleep on, till christ shall come  then thou wilt rise shake of thy dust  band be numbered with the just      brother woodruff except of this piece of compo-  sition from one who had evry feeling but that   of a parent for your departed sarah           letter was dated july th    the following is an extract      my dear willford, what will be your feelings, when   i say that yesterday i was called to witness the depar-  ture of our little sarah emma from this world, yes   she is gone the relentless hand of death has snatched   her from my embrace - but ah! she was two lovely  to kind, to affectionate, to live in this wicked world when   looking on her i have often thought how i should feel   to part with her. i thought i could not live without   her esspecially in the absence of my companion.   but she has gone the lord hath taken her home to himself   for some wise purpose. it is a trial to me, but the lord   hath stood by me in a wonderful manner i can see and feel   &amp; that he has taken her home &amp; will take better care of   her than i possibly could for a little while untill i shall   go &amp; meet her yes willford we have one little angel in   heaven &amp; i think it likely her spirit has visited you before   this time. it is hard living without her she used to call   her poor pa-pa &amp; putty pa-pa many times in a day she left a   kiss for her pa-pa with me just before she died. she eat   her dinner as well as usual thursday was taken about  oclok   with a prestness for breath the elders lade hands upon her   &amp; anointed her a number of times, but the next day her   spirit took its flight from this to another world with-  out a groan. to day willford &amp; i with quite a number   of friends accompaning us came over to commerce to pay   our last respects to our little darling in seeing her decently buried   she had no relative to follow her to the grave or to shed a   tear for her but her ma &amp; little  i have just been to   take a pleasing melancholy walk to sarah's grave, she lies alone   in peace. i can say that the lord gave &amp; the lord hath   taken away &amp; blessed be the name of the lord   {may the lord bless yourself and return you home again is the prayer of your sickly and afflicted companion} p w. woodruff    ",1836-05-31
"94",1163,"december ,  ",1843-12-18
"95",1163," monday      th a short time since br  and   his son  were both kidnaped   by some missourians and other mob men from    and put in prision,   one of the kidnapers a schoolmaster was taken   with a warrent &amp; brought to  &amp; had his   trial this day before squair johnson his name   was elliot he was bound over to county   court under $ dollar bonds. he was   then taken with another warrent for threat-  ning president  life which charge was   also proven against him, but president   smith forgive him, &amp; he was finally discharged   on that case. president smith made an   eloquent speech upon the subject manifested   mercy towards his enemies when they were in   his power, but he lifted up his hands towards   heaven &amp; declaired that if missouri came   against us any more he would fight them   &amp; defend his rights      december ,  ",1843-12-19
"96",1163," tuesday      th a warrant was also issued against   col  who was the leader of the  kidnaping scrape but he had gathered a mob   around him and swore defiance against the   law or comeing to , so the officers   returned to nauvoo for council assistance &amp;c      december ,  ",1843-12-20
"97",1163," wednesday to december ,  ",1843-12-21
"98",1163," thursday      th.  i spent the time to work on my house      december ,  ",1843-12-22
"99",1163," friday      d i worked exeeding hard with the expectation   of finishing the brick work of my house. i had    masons  tenders and  carpenters but we did   not quite finish it i went home &amp; went to bed sick   &amp; i had a dredful sick night    ",1843-12-22
"100",1179,"november ,  ",1835-11-18
"101",1179," wednesday      nov th rode to br       november ,  ",1835-11-19
"102",1179," thursday      th rode to mr  preached at his house  miles      november ,  ",1835-11-20
"103",1179," friday      . rode to mr  distance  miles      november ,  ",1835-11-21
"104",1179," saturday      st rode to br  distance  miles      november ,  ",1835-11-22
"105",1179," sunday      nd sunday preached at mr       november ,  ",1835-11-23
"106",1179," monday       rode to       november ,  ",1835-11-24
"107",1179," tuesday      th rode to   miles      november ,  ",1835-11-25
"108",1179," wednesday      th rode to mr   miles      november ,  ",1835-11-26
"109",1179," thursday       rode to  preached at his house  got  subscriber for   miles      november ,  ",1835-11-27
"110",1179," friday       rode to mr  preached at his house  miles      november ,  ",1835-11-28
"111",1179," saturday      th rode to br   miles      november ,  ",1835-11-29
"112",1179," sunday      th rode to br  preached at his house  miles      november ,  ",1835-11-30
"113",1179," monday      th rode to mr  preached at his house returned  to br   also  subscriber for  wrote  letter  m      december ,  ",1835-12-01
"114",1179," tuesday      dec st spent the day at father  in writing  wrote  letters st to president   the other to elder  both directed to   an account  of  baptized sent  subscribers and $.. in money in since oct       december ,  ",1835-12-02
"115",1179," wednesday      nd rode to br   miles whare i unexspectedly  met elder  who informed me that elder [[daniel cathcart|daniel  cathcart]] was at  labouring and that he  would soon visit us i expect br  with me      december ,  ",1835-12-03
"116",1179," thursday      rd rode to br  preached at his house and in the evening  m      december ,  ",1835-12-04
"117",1179," friday      th rode to br  preach at his house  miles      december ,  ",1835-12-05
"118",1179," saturday       rode to   miles      december ,  ",1835-12-06
"119",1179," sunday       sunday rode to capt.  preached at his hous. .      december ,  ",1835-12-07
"120",1179," monday      th rode to  distance  miles      december ,  ",1835-12-08
"121",1179,"tuesday      th preached at night in the court house and while   preaching some person turned one of our horses  loose to stray      december ,  ",1835-12-09
"122",1179," wednesday       i spent the day in writing wrote a letter to my parents      december ,  ",1835-12-10
"123",1179," thursday       spent the day in       december ,  ",1835-12-11
"124",1179," friday      th wrote a letter to br       december ,  ",1835-12-12
"125",1179," saturday      th walked to col   miles and found our stray horse      december ,  ",1835-12-13
"126",1179," sunday      th sunday preached at the academy rode to   miles      december ,  ",1835-12-14
"127",1179," monday      th rode to   miles      december ,  ",1835-12-15
"128",1179," tuesday       preached at br   miles      december ,  ",1835-12-16
"129",1179," wednesday       rode to mr   miles      december ,  ",1835-12-17
"130",1179," thursday      th rode to  preached at his house  and rode to br   miles    ",1835-12-17
"131",1494,"september ,  ",1856-09-29
"132",1494," monday      th i entered many articles for the state fair i met with the nauvoo   legion on parade lieut general  addressed the legion and reproved   them sharply for not being more interested in the interest of the legion   he was followed by col  &amp; w woodruff &amp;         september ,  ",1856-09-30
"133",1494," tuesday      th  mail came in and brought me  letter   from  i wrote letters to the mormon, the standard   the lumanary, to hon's  to   c c rich total  letters &amp; spent a part of the day in the fair      october ,  ",1856-10-01
"134",1494," wednesday      oct st i met in the state fair with the board of directors and   as chairman of the fruit committe in awarding premiums i preached   in the evening to the  ward in the social hall was followed by [[edmund ellsworth|edmund   elsworth]]  the spirit of god was upon us &amp; we   talked vary plain to the people      october ,  ",1856-10-02
"135",1494," thursday      nd it is fast day in this  and many of the people spent the day   in fasting &amp; prayer. the state fair is open to day president    &amp; family go through in the morning then it is open to the public      the following apples were named by the fruit committe   nebekers no  nebekers winter, no  spotted fall, no  winter spot   w. woodruff (large read &amp; white) mountain beauty, winter red   stains deseret sweet () willard sweet      new names for peaches b. youngs, sweet cling &amp; tart cling tart free    lemon cling      i passed through the state fair several times i attended the ploughing   match at  oclok.  men entered for ploughing  prizes wer given   to  rd prize      w. woodruff obtained premiums on the following articles      st premium on wheat $      st "" ""  peas rd div      st "" beet molasses $       "" on early corn $      nd premium on squashes $      nd "" "" pumpkins $      nd "" "" beets nd div $      nd "" on yellow corn rd div      nd on seedling apples $      there was a large throng visited the   fair all day their is a vary fine   collection of evry department almost   even beyoung  our expectations &amp; is vary  incourageing in this thing      ",1856-10-02
"136",1580,"september ,  ",1855-09-21
"137",1580," friday to september ,  ",1855-09-22
"138",1580," saturday      sept ,  i spent the time labouring. on the nd i attended  the universal scientific society in the evening      september ,  ",1855-09-23
"139",1580," sunday      rd sunday i attended was quite unwell and not able to   attend meeting. elder  preached a vary interesting   discourse upon the history of the rise &amp; progress of mahomit-  anism &amp; was followed by  both published in   the deseret news of oct th       september ,  ",1855-09-24
"140",1580," monday to september ,  ",1855-09-26
"141",1580," wednesday        and  i spent the time labouring with my hands      september ,  ",1855-09-27
"142",1580," thursday      th the horturculteral society again met at the   social hall speaches were made about three bushels of   choise peaches were distributed to the assembly about    new signers obtained to the siogsiety      september ,  ",1855-09-28
"143",1580," friday to september ,  ",1855-09-29
"144",1580," saturday      ,  i spent the time labouring      september ,  ",1855-09-30
"145",1580," sunday      th sunday i attended meeting at the bowary and prayer  meeting in the evening      october ,  ",1855-10-01
"146",1580," monday to october ,  ",1855-10-05
"147",1580," friday      oct st , , , and  i spent the week gathering potatoes &amp;   other crops      october ,  ",1855-10-06
"148",1580," saturday to october ,  ",1855-10-08
"149",1580," monday       oct th  saturday a general conference of the   church of jesus christ of latter day saints met at  the bowery at  oclok this morning which held three   days ended monday night oct th. there were present  during this conference all the first presidency and      &amp;  of the quorum of the twelve apostles   &amp; the other authorities of the church &amp; about ten-  thousand of the saints all the procedings of this conference   is published in the deseret news of october th    so i deem it unnecessary to publish it in this journal      at this conference e. t. benson &amp; erastus lorenzo snow were   appointed missions to  &amp; p. p. pratt o. pratt   &amp; w woodruff of the twelve were appointed home missions   with many others in .      october ,  ",1855-10-09
"150",1580," monday to october ,  ",1855-10-13
"151",1580," saturday      th, , , and, ,  this week was spent getting up   corn &amp; potatoes. i attended the universal scientifi   society meeting on saturday evening &amp; herd a lecture   delivered by  on the art of plenty followed by   president .      october ,  ",1855-10-14
"152",1580," sunday      th sunday i attended meeting at the bowary and herd   addresses from   i attended prayer meeting at a circle &amp; herd president    prophesy that the lamanites would not conqur    ther enemies nor get much advantage over   them in ther battles but they would continue to be destroyed   &amp; distressed untill they sought unto the lord &amp; his servants for   assistance &amp; embraced the gospel &amp; became a righteous people  then they will begin to prosper &amp; not before    ",1855-10-14
"153",1942,"october ,   to  december ,     ",1865-10-22
"154",2010,"jan ,       there were present on the stand the first presidency the twelve  apostles, the officers of the union and   &amp; of the  with many invited guest  including the officers of       the last  a large steel  mallet was used on the occasion made by mr   it was elegantly chased on the top, there was engraved a  bee-hive surmounted by the inscription  under-  neath the  were the letters u. c. r. r. the spike   made of home made iron manufactured by the late    was ornamented like the mallet &amp; was the work of brother lawson just  before the ceremony of laying the last rail commenced, the sun, which  during the whole day, had been completely concealed by clouds  burst forth with unclouded brilliancy as if determined to enha-  nce the general joy by his genial rays after the performance of   the ceremony which took place about  minutes past  oclok a  salute of  guns was given one for each mile of the road was when capt   brass band burst forth with their enlivening strains  after which the following prayer was offered by  elder wilford woodruff      o, god, our eternal father we have assembled on this occasion  to celebrate one of the greatest &amp; grandest events of the generation  in which we live, and we offer up the gratitude of our hearts  with thanksgiving for thy merciful &amp; protecting care that has   been over us when we were led into these vallies by thy servant  servant brigham young, twenty two years ago, we found them   a perfec desert inhabited ownly by wild beast &amp; a few red men   who roamed over the plains. to day we behold the teeming thousands   of the anglo-saxon race assembled here to celebrate the completion  of a line of rail road into this  which has opened up commerce   between us and all the world. thou has enabled thy saints who have  gathered here from the nations of the earth to fill these vallies of the   mountains with  miles of cities, towns, villages, gardens, orchards,  vineyards, and fields, and the desert has been made to blossom as the   rose. we should be recreant to our duty did we not acknowledge  the hand of thee our god in thy protecting care that has been over us    ",1870-01-10
"155",2121,"june ,  ",1872-06-17
"156",2121," monday      june ,    watered wheat i went up tighe creek with bishop stewart  and picked out a public pasture also a piece of medow land for the bishop &amp;  wilford to fence together i went up to the saw mill &amp; caught  trout      june ,  ",1872-06-17
"157",2121," tuesday      . i went up oter creek and caugh  trout with a hook  caught   &amp;   total  they were generally small traveled  m      june ,  ",1872-06-19
"158",2121," wednesday      june . i spent the day choreing      june ,  ",1872-06-20
"159",2121," thursday      . i left my family at  and rode in a waggon with brother  henderson to   m      june ,  ",1872-06-21
"160",2121," friday      . i took cars and rode to  then  on car to  &amp; spent the night at home  miles      june ,  ",1872-06-22
"161",2121," saturday       it was a hot day i spent the fore noon watering and weeding vineyard  afternoon i attended the  called upon   to speak he gave an account of his labors in   congress during the past session &amp; the great deliverance god had wrought  out for us followed by  who told his experiences in congress  president young spoke gave good council &amp; teaching. i received  letters        june ,  ",1872-06-23
"162",2121," sunday      . sunday i attended meeting in the tabernacle brother   spoke in the forenoon  minuts a good sermon. afternoon [[george quayle cannon|g. q.   cannon]] spoke one hour and  minutes we had no  in   the evening. president  family occupied the room so the  evening prayer circles were abandoned for the present      june ,  ",1872-06-24
"163",2121," monday      . i spent the day in my vineyard hoeing and tying up vines      june ,  ",1872-06-25
"164",2121," tuesday to june ,  ",1872-06-28
"165",2121," friday       to . i spent the week on the farm watering and hoeing      june ,  ",1872-06-29
"166",2121," saturday      . i came to the city in the morning attended school in the afternoon  and spoke as did president       june ,  ",1872-06-30
"167",2121," sunday       sunday we had a hard rain storm to day (brother   and  spoke in the forenoon &amp; w woodruff one hour in        july ,  ",1872-07-01
"168",2121," monday      july . i spent the day making a coal house      july ,  ",1872-07-02
"169",2121," tuesday to july ,  ",1872-07-03
"170",2121," wednesday       and . i spent the time on the farm      july ,  ",1872-07-04
"171",2121," thursday      .  i attended the fast meeting in the  ward and herd many  speak i followed them      july ,  ",1872-07-05
"172",2121," friday       i spent the day on the farm      july ,  ",1872-07-06
"173",2121," saturday        i hoed corn in the forenoon. attended school in the afternoon   with him in the evening    ",1872-07-06
"174",2161,"june  . i wilfod woodruff sealed   to my oldest brother   i aalso sealed     ",1872-07-06
"175",2256,"dec ,       down with his boat while going down he shot  geese we rowed  our boats in to the rushes whare we could hide ourselves and as the ducks  would fly over or among us we would shot them on the wing we  staid till dark then rowed back to our waggon drew our   boats up on to dry land made up a fire cooked a duck pot   pie eat our supper made our beds in the boat &amp; slept all night  the wind blew vary hard we got up before day light on the   , &amp; took our boats &amp; went back to our shooting place on the  way down a flock of geese came over us i shot into the   flock &amp; hit them but the shot was to fine to kill them the   wind blew vary hard most of the forenoon we shot till  the middle of the afternoon then we went up to our waggon  loaded our boats in to the waggon &amp; returned home while   at the hot sprig lake  took one boat across to    &amp; i carried the other to ezra pettets house  we counted our game &amp; found we had  ducks &amp;  geese      december ,  ",1867-12-11
"176",2256," friday      . i went to   and spent the remainder of the day at home i met with the  in the evening      december ,  ",1867-12-14
"177",2256," saturday      . i spent the most of the day in the t  house]] we gave endowments to  persons.  sealed    couple and w woodruff .      december ,  ",1867-12-15
"178",2256," sunday      . sunday i met with my quorum in the morning and  attended meeting at the  i administered to [[john taylor, b. |john   taylor]] with  he was vary dangerously  sick with the congestion of the bowels this is the rd attack  he has had this season. i preached in the  ward in the evening      december ,  ",1867-12-16
"179",2256," monday      . i spent the day at home but i met with the   . this school was organized on   the , dec  in the city hall president  was   appointed president  vice presidents   treasuryer  president young spoke of the first organization of this school by   was given in this   school president young said  and  he was the father of jesus christ &amp; was our god &amp; that joseph   taught taught this principle president young d. h. wells &amp;     ",1867-12-16
"180",2257,"dec ,       addressed the    addressed the meeting  and on the  president young h. c. kimball &amp;   addressed the school. the revelation called the   was read &amp; theremarks made upon it by president young.   also spoke      december ,  ",1867-12-16
"181",2257," tuesday      . i took  hogs up to the distillery to be fed on shares  and spent a part of the day diging willows  m      december ,  ",1867-12-18
"182",2257," wednesday      . i spent the day diging willows on the  and went home in  the evening to the  it snowed in the night      december ,  ",1867-12-19
"183",2257," thursday      . i went to the  dug willows took a load of straw and   fodder home in the evening      december ,  ",1867-12-20
"184",2257," friday      . i spent the day in the  we gave endo-  wments to .  sealed  couple w woodruff ,   and   couple total . it was a hard rainy   day i had  hogs butchered which i cut up in the evening  &amp; salted. the  met at  oclok to   day &amp; were addressed by president  a number  of the elders i could not attend as i was in the endowment house      december ,  ",1867-12-21
"185",2257," saturday      . i spent most of the day in the   we gave endowments to  persons.  sealed    couple and w. woodruff  couple      december ,  ",1867-12-22
"186",2257," sunday      nd sunday i met with my quorum in the morning and attended  meeting in the  spoke in the   forenoon &amp; president  in the afternoon  he spoke one hour &amp; was followed by president   one hour. i met with the presidency &amp; twelve for prayer &amp;   preached in the  ward in the evening &amp; wrote a letter to        december ,  ",1867-12-23
"187",2257," monday      rd i spent the fore part of the day at the  i   anointed  met at one oclok  president  delivered an address upon the subject of trading with  our enemies and sustaining those who would destroy us he called  upon the bishops to express their views upon the subject some   of the twelve of the bishops spoke upon it. i attended the school we had  a hard rainy day &amp; night    ",1867-12-23
"188",2477,"and sent him off the next one came but  not in time for me to get the first  train so i had to wait at the station from   to  oclok we then took cars rode to     miles paid $. took cars rode  to   miles paid  $. at new britain i hiered a carriage to  go  miles to father   paid $. other expenses  cts the road   was bad over the mountain we went   slow it was night and dark and chilly  i carried  in my armes i took cold  i arived at father woodruff about  ock  in the evening almost exhausted with hard  travelling forced marches andc phebe seemed  at first much better than i did she was   quite sprightly we all got some supper &amp;  i put phebe to bed i found she had taken  cold and complained of being sore  she also cried for her  the first  time she had cried since i started but  she soon fell asleep and i went to bed   almost sick i was called up before   day light as phebe had the diarhea vary  bad and some fever and we were afraid  she would be sick but she arose quite  cheerful in the morning i lay down again  and had a sleep distance from   to farmington  mile  fare &amp; all expenses $.      march ,  ",1846-03-20
"189",2477," friday      th i arose about sick with my fatigue   and cold  appeared well it was our  intention to have packed up to day and started  on our journey to morrow but we found we    ",1846-03-20
"190",2504,"th we travled through the day i  called the camp together and addressed  them      june ,  ",1846-06-10
"191",2504," wednesday       i started the company this morning  according to our organization we went   through a bad swail my men broke   another tong out of one of my waggons  we went to timber cut a stick and put  in a new one &amp; spent the day [[lucien woodworth|lucian  woodworth]] camped near me he came  &amp; conversed with me some hours in  the evening      june ,  ",1846-06-11
"192",2504," thursday      th a fine morning we travled through   the day      june ,  ",1846-06-12
"193",2504," friday      th we travled till . our cows run away  detained us  hours we camped at sun down      june ,  ",1846-06-13
"194",2504," saturday      th it was an exeeding warm day we  pasted past by the first camp within    miles of it br  and his  company went to the first camp we  continued on for the second camp  we camped for the night in a grove  we have had nearly all prairie through  the journey      june ,  ",1846-06-14
"195",2504," sunday      th sunday we travled untill  and camped  elder  came up with us  we camped at night on a prairie without  timber    ",1846-06-14
"196",2707,"i cannot close my record upon the signs of the times witof   without turning my eye towards zion, yes zion, which is not   now merely a phantom of the brain or a name, but actually a   living thing. truly she is yet but a babe just born. yet she has  a tabernacle, the mountains of israel. her bed is in the cham-  bers of the rocks. her garden one of the rich valleys of ephraim   she speaks and her voice is as the voice of god. she has a spirit   which burns like flames of fire. she has power, and has started   a little stone rolling from the mountain her habitation, which   increases as it goes: it is causing the earth to quake and tremble,   take care ye nations it will grind you to dust. she has messengers  who go &amp; come at her bidding, one of them can chase a thousand   and two put ten thousand to flight, they command the element  &amp; they obey them. she has an ensign for the nations to flee  to. she has a law which will soon govern the earth. she is   born in the generation that david had a view of. o praise   the lord i am a witness that mine eyes have beheld her.   she has keys to open &amp; no man can shut, and shut and no man   can open. her power is from heaven whare she hath noble   senators who plead her cause both day &amp; night. this is the  zion i seek after, this is the zion i speak off. her church  is the church of jesus christ of latter day saints. her city   was sought in  and the lord has favored her from that   that time. and during the year  the church has been  organized with a first presidency of three persons viz [[brigham young|brigham   young]], , who have gatherd   to the mountains of israel, in the [[salt lake valley, mexican cession territory|valley of the great salt   lake]], great basin north america, and taken with them   some three thousand souls with their flocks &amp; herds, which   makes a population of about seven thousand souls in the   city of the great salt lake. the lord has also blest their   land which has brought forth in abundance. and while the lord   has been multiplying blessing upon zion in her quiete habitation  her messengers have been crying aloud to the nations of   the earth &amp; the isles of the sea preaching the gospel unto them  and uttering their testimony in the power of god and the   gift of the holy ghost untill they have gatherd their thousands   together untill one of the twelve apostles of the lamb ([[orson pratt|orson   pratt]]) estimates that it will take three hundred ships to remove  the saints from the  alone to zion. the saints who   were gather into the  have discoverd   such vast mines of gold silver copper &amp; other precious ores that  the report of it is creating great excitement throughout the world   esspecially in the united states untill tens of thousands are rushing to  the gold regions to try to obtain the precious mettal. and as the hand  of god has been so visible in all the signs of  may he continue his work   through  and all following years untill his arm shall be made bare   in the eyes of all nations. untill zion shall arive to her full strength of manhood   for brass may she have gold for iron silver for wood brass for stones iron.   may her execters &amp; peace officers be righteous men. may her nobles be of ephraim  and her govournor procede out of the midst of him. may all of her messengers be armed  with righteousness in the power of god in great glory. may all of the nations of the earth  fear &amp; tremble because of her law. may the wicked find her sons terrible when they go to  battle against her &amp; not have power to stand before them. may her dwelling places   be distinguished by a pillar of fire by night &amp; cloud by day, &amp; in fine may she arise   &amp; shine forth and spread herself abroad with all that perfection of beauty power   &amp; glory which has ever been spoken concerning her even to the full expectation of god angels &amp; man   wilford woodruff    ",1846-06-14
"197",2718,"april ,  ",1849-04-16
"198",2718," monday      th i left  and rode with two young men to [[toms river, ocean county, new jersey|toms  river]] our road lay through a level pine forest about  miles   almost one universal sand bed, there is a small village in the   midst of the pine forest called , i rode on a load of   plank  lbs drawn by  mules with wide tire yet they su  into the sand over the felly which made hard travelling i calle  at  and spent the night  m      i preached in the evening to the saints i had a severe cold  and sore throat      april ,  ",1849-04-17
"199",2718," tuesday      th   to ,  i preached at night to a full house, spent the night with mr        april ,  ",1849-04-18
"200",2718," wednesday      th it rained in the morning, at noon i went in company   with   to , it hailed snowed and rained hard on the road  we were cold when we got through we spent the night   when we got there at elder   m      april ,  ",1849-04-19
"201",2718," thursday      th i preached in the evening to a full house my cold and lungs  were better i talked vary plain to the people      april ,  ",1849-04-20
"202",2718," friday      th i baptized and confirmed  persons of mr wycolf family  they have been believing many years,  the twelve   &amp; others have visited them. i blessed  children laid hands  upon  that were sick i then rode to  &amp; called   upon sister fenting i took cars at  oclok saw an old bling   man fall from the cars onto the track &amp; break his ribs &amp;   he sufferd much i rode to  new jersey &amp; spent the  night with br       april ,  ",1849-04-21
"203",2718," saturday      st i walked with br  and spent the night  at elder   mile.      april ,  ",1849-04-22
"204",2718," sunday      nd sunday i preached in the morning and afternoon  was baptized  i confirmed him, i organized a branch &amp; ordained  elder  &amp; administered to  that were sick. we walked to , i  preached &amp; organized a branch there ordained  elder administ  to  sick &amp; spent the night there, i wrote a letter to o.    &amp; sent $ for papers  m      april ,  ",1849-04-23
"205",2718," monday      rd i took cars rode to  from    had arived in new york had waited a week to see me was  now about to leave for the west i went down immediately to see   him found him at the hotel opposite jersey city ferry. our   meeting was one of rejoicing we spent about  hours together  he had  in family wife children relatives andc he paid the  fare of about  families to zion who went with capt  &amp;    he sent up also about $ dollars worth of goods to  the . he was known as a latter day saint on the steem   ship &amp; exherted a good influence so much so that the first   officers of the steemer with the mates, clerk, purser &amp;c came to  see him leave the city for the west, i was introduced to them. i  took tea with him &amp; family. he put £ a sovereign into my hands at the  table, may the lord bless him fourfold i pray.  miles    ",1849-04-23
"206",2727,"may ,  ",1849-05-29
"207",2727," tuesday      th  died of cholera   i recieved one letter from  one from elder   and the frontier guardian i wrote  letters  to  w w wade and   i recieved the painful intelligence   by br gibsons letter that elder wm i appleby  died of the cholera on board of the steemer while on his  way from  to the bluffs with many of the company  with him the cholera is laying waste the inhabitants of the   earth in the western states esspecially on the rivers &amp; our  brethren are in the midst of it &amp; several of them are falling   by it. elder appleby has been a faithful labourer in the  vineyard &amp; has left a strong testimony to the world i  little thought the last time i saw him that he would  leave us so soon how many of the saints are falling or   have died by the cholera i know not but i have   felt much depressed in spirit for a week past and  have felt the forebodings of trying news, my pra-  yer to god is that he will spare his saints from the  pestilence which is now walking in darkness &amp; wasteth  at noon day i expect this season will be a trying time  to the inhabitants of the earth and time must deter  *mine whose life will be preserved, *june  i recieved   word saying that elder appleby is not dead but is well &amp; gone to the bluffs      may ,  ",1849-05-30
"208",2727," wednesday      th a rainy day br  called upon me in  the morning i recieved a letter from elder    on tything and papers and wrote one   letter to him in return &amp; sent him one pamph-  let      may ,  ",1849-05-31
"209",2727," thursday      st  i recieved another letter to day saying from elder   saying they had recieved  further word concerning the death of elder  and his  company he says br  mo  to his  in phil. saying the following persons had died  of the cholera w.i. appleby,  and  children,   , hall, &amp;  sister  and a number of the venners &amp; more not   named june  elder appleby is alive the rest named are dead      also the boston daily times has the following concerning the  companies going to the gold digings. ""letters from [[independence, jackson county, missouri|independa-  nce]] mo say that the cholera is sweeping evry thing before   among those who have died there is lieut schenck of   the navy. gloom reigns on evry side, business is at a complete  stand, all the calafornians have putty much left in a fright  the cholera rages so extensively among some of the emigrating   parties that they do not even stop to bury their dead. corpses  are found wraped in their winding sheets lying along the  road in heeps of five &amp; six together. the scene on evry  side is painful &amp; horrible in the extreme.      i held a meeting at my house an infidel of the worst class  opposed after i got through preaching his conversation was  nonsenes folly &amp; blaguardism against god, jesus christ, and   all their revelations given for the benefit of man      june ,  ",1849-06-01
"210",2727," friday      june st    and i wrote one to wm sweat. i wrote br  a letter  and sent him   pamphlets    ",1849-06-01
"211",2742,"august ,  ",1849-08-26
"212",2742," sunday      th sunday i met with the saints and spoke to them &amp; was followed   by others sister  spent the evening with us      august ,  ",1849-08-27
"213",2742," monday      th       august ,  ",1849-08-28
"214",2742," tuesday      th    i wrote two letters to j and  there  is several cases of cholera around us  died out of one   family in the same street we are in      august ,  ",1849-08-29
"215",2742," wednesday      th       august ,  ",1849-08-30
"216",2742," thursday      th       august ,  ",1849-08-31
"217",2742," friday      st i spent the day at home writing      september ,  ",1849-09-01
"218",2742," saturday      sept st i took cars and rode to  spent the night   at br  distance  m      september ,  ",1849-09-02
"219",2742," sunday      nd sunday i met with the  branch of the saints  and set all day to settle a difficulty, and i herd it untill my head   heart &amp; brains aked. it lasted untill night.      september ,  ",1849-09-03
"220",2742," monday      rd i spendt the day visiting  and preached to   the saints at night and had a good time      september ,  ",1849-09-04
"221",2742," tuesday      th i rode to  and preached at night and organized  the branch appointed or confirmed elder    to preside elder cory councellor m      september ,  ",1849-09-05
"222",2742," wednesday       i took cars and returned to     i spent the night at home i recieved  letters from         september ,  ",1849-09-06
"223",2742," thursday      th       september ,  ",1849-09-07
"224",2742," friday      th    sister  and family called upon me &amp; spent the night      september ,  ",1849-09-08
"225",2742," saturday      th i spent the day at home at night there was a fire and  several buildings burned up near by us. the last european   arival informs us that the hungarians have fallen beyound   redemption there armies have been defeated &amp; surrendered   to the russians and austrians      september ,  ",1849-09-09
"226",2742," sunday      th sunday i preached to the saints and had a good time   i ordained brother    to the office of an elder i walked with mrs   through  &amp; saw the water spout near   feet into the air we took attea at mr websters &amp; returned home      september ,  ",1849-09-10
"227",2742," monday      th   and mrs hartford elder  salled upon me &amp; spent the   night      september ,  ",1849-09-11
"228",2742," tuesday      th    and   left for home to day brother  &amp; richery took tea with  me    ",1849-09-11
"229",2919,"fools because they have been taught to be fools now   have some sens and believe what brother    has said  now these things are virtueous principles the   world are corrupt you have got to be pure in heart   or you cannot abide the day that is coming      at  oclok p. m  addressed the saints &amp;   bore testimony to the work of god      brother g  parents &amp; children      brother  next spoke. he said he was the   first baptized in        next spoke &amp; expressed his feelings      brother  next spoke for a short time &amp;   meeting was adjourned till sunday morning        april ,  ",1852-04-11
